FIPS,COUNTY,POPULATION,MURDER,RAPE,ROBBERY,ASSAULT,ARSON,BURGLARY,THEFT
53001,ADAMS,14600,0,5,5,57,7,132,628
53001,ADAMS,15200,4,5,3,34,3,150,733
53001,ADAMS,15400,1,6,5,42,11,142,653
53001,ADAMS,15800,1,9,2,46,8,185,479
53001,ADAMS,15900,0,10,5,32,15,205,447
53001,ADAMS,15900,1,4,4,42,6,168,411
53001,ADAMS,15800,0,14,5,21,7,161,429
53001,ADAMS,16600,0,12,7,25,10,109,490
53001,ADAMS,16600,0,5,4,16,8,173,575
53001,ADAMS,16600,0,16,4,22,8,226,700
53001,ADAMS,16700,0,9,11,41,8,265,624
53001,ADAMS,17000,1,14,13,29,7,158,505
53001,ADAMS,17300,1,7,1,24,5,172,591
53001,ADAMS,17600,2,9,4,26,9,255,675
53001,ADAMS,17800,0,9,5,43,5,183,631
53001,ADAMS,18000,1,6,19,31,10,185,525
53001,ADAMS,18300,1,8,10,37,6,229,566
53001,ADAMS,18950,0,4,10,39,9,209,537
53003,ASOTIN,17792,1,6,3,62,4,156,662
53003,ASOTIN,18020,0,12,3,49,7,217,901
53003,ASOTIN,19600,0,15,4,42,3,190,880
53003,ASOTIN,19700,0,10,3,25,4,172,861
53003,ASOTIN,20000,1,10,7,29,7,208,679
53003,ASOTIN,20000,1,7,3,27,2,184,645
53003,ASOTIN,20000,1,9,5,28,2,125,686
53003,ASOTIN,20700,0,7,11,41,15,189,709
53003,ASOTIN,20700,0,16,2,31,1,163,603
53003,ASOTIN,20600,0,6,4,36,4,172,581
53003,ASOTIN,20700,1,5,1,41,7,129,554
53003,ASOTIN,20900,1,6,7,30,4,60,504
53003,ASOTIN,21100,0,2,0,28,1,84,440
53003,ASOTIN,21300,0,1,5,27,3,72,434
53003,ASOTIN,21400,1,2,4,32,0,82,471
53003,ASOTIN,21500,0,3,7,39,0,102,425
53003,ASOTIN,21700,1,8,2,28,4,89,469
53003,ASOTIN,21650,0,0,2,34,2,110,533
53005,BENTON,127000,4,70,61,265,45,802,4752
53005,BENTON,131000,7,61,69,296,60,1005,5004
53005,BENTON,131000,4,56,53,215,58,949,4330
53005,BENTON,134100,1,59,50,251,48,1010,4367
53005,BENTON,137500,7,57,71,266,61,967,4546
53005,BENTON,138900,1,56,48,235,74,822,3886
53005,BENTON,140700,2,52,51,246,62,885,3849
53005,BENTON,144800,2,43,59,255,65,889,4406
53005,BENTON,147600,4,42,55,239,43,958,3691
53005,BENTON,151600,4,45,47,306,44,1056,3732
53005,BENTON,155100,5,46,60,278,71,1226,4159
53005,BENTON,158100,7,49,49,298,50,1038,4289
53005,BENTON,160600,3,47,53,368,44,1026,3840
53005,BENTON,162900,3,61,56,287,44,847,3401
53005,BENTON,165500,1,75,60,279,43,902,3145
53005,BENTON,169300,0,73,52,299,49,761,3234
53005,BENTON,172900,3,49,54,277,33,792,3357
